rcid,country_code,disaster_before_vote,number_disasters,total_affected
9140,YE,1,3,80526
9140,ZM,1,1,4
9140,ZW,1,1,26
9060,AF,1,6,131113
9060,AL,0,0,0
9060,DZ,0,0,0
9060,AD,0,0,0
9060,AO,1,3,16591
9060,AR,1,3,35357
9060,AM,0,0,0
9060,AU,1,3,19445
9060,AT,0,0,0
9060,AZ,0,0,0
9060,BS,0,0,0
9060,BH,0,0,0
9060,BD,1,1,7600114
9060,BB,0,0,0
9060,BY,0,0,0
9060,BE,0,0,0
9060,BZ,0,0,0
9060,BJ,0,0,0
9060,BT,0,0,0
9060,BO,1,3,385600
9060,BA,1,2,760
9060,BW,0,0,0
9060,BR,1,8,10049020
9060,BN,0,0,0
9060,BG,0,0,0
9060,BF,0,0,0
9060,BI,1,1,10
9060,CV,0,0,0
9060,KH,1,1,435012
9060,CM,0,0,0
9060,CA,1,1,19501
9060,CF,1,1,44918
9060,TD,1,1,423
9060,CL,1,1,606
9060,CN,1,7,4887646
9060,CO,1,4,39931
9060,KM,0,0,0
9060,CG,1,2,213000
9060,CI,1,1,14658
9060,HR,1,1,66
9060,CU,0,0,0
9060,CY,0,0,0
9060,CZ,0,0,0
9060,KP,1,1,10100000
9060,DK,0,0,0
9060,DJ,1,1,250011
9060,DM,0,0,0
9060,DO,0,0,0
9060,EC,1,1,3014
9060,EG,0,0,0
9060,SV,0,0,0
9060,ER,0,0,0
9060,EE,0,0,0
9060,SZ,0,0,0
9060,ET,1,1,200000
9060,FJ,0,0,0
9060,FI,0,0,0
9060,FR,1,2,1110
9060,GA,0,0,0
9060,GM,0,0,0
9060,GE,1,1,5088
9060,DE,0,0,0
9060,GH,1,2,26134
9060,GR,0,0,0
9060,GD,0,0,0
9060,GT,0,0,0
9060,GN,0,0,0
9060,GW,0,0,0
9060,GY,0,0,0
9060,HT,1,2,4447
9060,HN,0,0,0
9060,HU,0,0,0
9060,IS,0,0,0
9060,IN,1,5,3072083
9060,ID,1,11,428037
9060,IR,1,3,10001278
9060,IQ,1,1,5875
9060,IE,0,0,0
9060,IL,0,0,0
9060,IT,1,1,1200
9060,JM,0,0,0
9060,JP,1,3,1185
9060,JO,0,0,0
9060,KZ,0,0,0
9060,KE,1,2,2833429
9060,KI,0,0,0
9060,KW,0,0,0
9060,KG,0,0,0
9060,LA,1,2,507519
9060,LV,0,0,0
9060,LB,0,0,0
9060,LS,0,0,0
9060,LY,1,1,20034
9060,LI,0,0,0
9060,LT,0,0,0
9060,LU,0,0,0
9060,MG,1,1,9
9060,MW,1,2,991706
9060,MY,1,4,22479
9060,MV,1,1,1800
9060,ML,1,2,6996
9060,MT,0,0,0
9060,MR,1,1,33603
9060,MU,0,0,0
9060,MX,1,3,3654
9060,FM,0,0,0
9060,MC,0,0,0
9060,MN,1,1,512
9060,ME,0,0,0
9060,MA,1,2,253
9060,MZ,1,2,63028
9060,MM,1,2,8190
9060,NA,0,0,0
9060,NP,1,1,82660
9060,NL,0,0,0
9060,NZ,0,0,0
9060,NI,0,0,0
9060,NG,1,2,71164
9060,MK,0,0,0
9060,NO,0,0,0
9060,OM,1,1,6
9060,PK,1,9,4682092
9060,PW,0,0,0
9060,PA,0,0,0
9060,PG,1,1,352
9060,PY,1,4,525237
9060,PE,1,4,9340
9060,PH,1,2,61000
9060,PL,0,0,0
9060,PT,0,0,0
9060,QA,0,0,0
9060,KR,1,1,3036
9060,MD,0,0,0
9060,RO,1,1,366
9060,RU,1,5,50263
9060,RW,1,1,5409
9060,KN,0,0,0
9060,LC,0,0,0
9060,VC,0,0,0
9060,WS,0,0,0
9060,SM,0,0,0
9060,SA,1,3,1438
9060,SN,1,1,8974
9060,YU,0,0,0
9060,SC,0,0,0
9060,SL,1,2,10388
